institution_code,institution_name,province,city
3930000,경기도 안산시,경기도,안산시
4060000,경기도 파주시,경기도,파주시
3780000,경기도 성남시,경기도,성남시
4281000,강원특별자치도 평창군,강원특별자치도,평창군
5710000,충청북도 청주시,충청북도,청주시
4241000,강원특별자치도 삼척시,강원특별자치도,삼척시
3530000,인천광역시 남동구,인천광역시,남동구
4201000,강원특별자치도 강릉시,강원특별자치도,강릉시
4181000,강원특별자치도 춘천시,강원특별자치도,춘천시
5430000,경상남도 남해군,경상남도,남해군
3050000,서울특별시 동대문구,서울특별시,동대문구
4231000,강원특별자치도 속초시,강원특별자치도,속초시
3320000,부산광역시 북구,부산광역시,북구
3670000,대전광역시 유성구,대전광역시,유성구
4570000,충청남도 부여군,충청남도,부여군
4500000,충청남도 공주시,충청남도,공주시
4810000,전라남도 여수시,전라남도,여수시
4311000,강원특별자치도 화천군,강원특별자치도,화천군
4731000,전북특별자치도 진안군,전북특별자치도,진안군
4050000,경기도 용인시,경기도,용인시
5390000,경상남도 의령군,경상남도,의령군
3860000,경기도 부천시,경기도,부천시
3730000,울산광역시 울주군,울산광역시,울주군
3220000,서울특별시 강남구,서울특별시,강남구
3820000,경기도 의정부시,경기도,의정부시
5410000,경상남도 창녕군,경상남도,창녕군
3280000,부산광역시 영도구,부산광역시,영도구
3150000,서울특별시 강서구,서울특별시,강서구
5670000,경상남도 창원시,경상남도,창원시
3550000,인천광역시 계양구,인천광역시,계양구
4781000,전북특별자치도 고창군,전북특별자치도,고창군
5100000,경상북도 영천시,경상북도,영천시
5480000,경상남도 합천군,경상남도,합천군
5340000,경상남도 사천시,경상남도,사천시
4751000,전북특별자치도 장수군,전북특별자치도,장수군
3200000,서울특별시 관악구,서울특별시,관악구
5010000,전라남도 신안군,전라남도,신안군
3500000,인천광역시 동구,인천광역시,동구
4430000,충청북도 옥천군,충청북도,옥천군
3520000,인천광역시 연수구,인천광역시,연수구
5250000,경상북도 울진군,경상북도,울진군
4400000,충청북도 제천시,충청북도,제천시
4321000,강원특별자치도 양구군,강원특별자치도,양구군
6520000,제주특별자치도 서귀포시,제주특별자치도,서귀포시
3490000,인천광역시 중구,인천광역시,중구
4450000,충청북도 진천군,충청북도,진천군
4550000,충청남도 금산군,충청남도,금산군
5460000,경상남도 함양군,경상남도,함양군
5190000,경상북도 청도군,경상북도,청도군
5120000,경상북도 문경시,경상북도,문경시
3070000,서울특별시 성북구,서울특별시,성북구
3100000,서울특별시 노원구,서울특별시,노원구
5090000,경상북도 영주시,경상북도,영주시
4211000,강원특별자치도 동해시,강원특별자치도,동해시
4341000,강원특별자치도 고성군,강원특별자치도,고성군
3910000,경기도 평택시,경기도,평택시
4870000,전라남도 구례군,전라남도,구례군
4980000,전라남도 장성군,전라남도,장성군
4600000,충청남도 홍성군,충청남도,홍성군
3570000,인천광역시 강화군,인천광역시,강화군
4140000,경기도 연천군,경기도,연천군
3060000,서울특별시 중랑구,서울특별시,중랑구
5240000,경상북도 봉화군,경상북도,봉화군
3610000,광주광역시 남구,광주광역시,남구
4440000,충청북도 영동군,충청북도,영동군
5440000,경상남도 하동군,경상남도,하동군
4020000,경기도 군포시,경기도,군포시
4671000,전북특별자치도 군산시,전북특별자치도,군산시
5450000,경상남도 산청군,경상남도,산청군
5310000,경상남도 진주시,경상남도,진주시
4510000,충청남도 보령시,충청남도,보령시
4610000,충청남도 예산군,충청남도,예산군
4590000,충청남도 청양군,충청남도,청양군
5530000,경기도 화성시,경기도,화성시
5130000,경상북도 경산시,경상북도,경산시
5110000,경상북도 상주시,경상북도,상주시
4741000,전북특별자치도 무주군,전북특별자치도,무주군
4900000,전라남도 화순군,전라남도,화순군
3600000,광주광역시 서구,광주광역시,서구
4160000,경기도 가평군,경기도,가평군
5700000,경기도 여주시,경기도,여주시
3130000,서울특별시 마포구,서울특별시,마포구
3260000,부산광역시 서구,부산광역시,서구
3140000,서울특별시 양천구,서울특별시,양천구
4070000,경기도 이천시,경기도,이천시
3290000,부산광역시 부산진구,부산광역시,부산진구
5540000,경기도 광주시,경기도,광주시
3400000,부산광역시 기장군,부산광역시,기장군
3630000,광주광역시 광산구,광주광역시,광산구
5180000,경상북도 영덕군,경상북도,영덕군
3690000,울산광역시 중구,울산광역시,중구
3980000,경기도 구리시,경기도,구리시
5470000,경상남도 거창군,경상남도,거창군
4721000,전북특별자치도 완주군,전북특별자치도,완주군
5170000,경상북도 영양군,경상북도,영양군
3410000,대구광역시 중구,대구광역시,중구
4271000,강원특별자치도 영월군,강원특별자치도,영월군
4221000,강원특별자치도 태백시,강원특별자치도,태백시
3970000,경기도 과천시,경기도,과천시
3390000,부산광역시 사상구,부산광역시,사상구
4191000,강원특별자치도 원주시,강원특별자치도,원주시
3740000,경기도 수원시,경기도,수원시
4820000,전라남도 순천시,전라남도,순천시
4000000,경기도 오산시,경기도,오산시
5210000,경상북도 성주군,경상북도,성주군
4080000,경기도 안성시,경기도,안성시
5680000,충청남도 당진시,충청남도,당진시
4530000,충청남도 서산시,충청남도,서산시
3380000,부산광역시 수영구,부산광역시,수영구
4251000,강원특별자치도 홍천군,강원특별자치도,홍천군
5200000,경상북도 고령군,경상북도,고령군
3370000,부산광역시 연제구,부산광역시,연제구
5400000,경상남도 함안군,경상남도,함안군
4960000,전라남도 함평군,전라남도,함평군
5350000,경상남도 김해시,경상남도,김해시
3020000,서울특별시 용산구,서울특별시,용산구
5600000,경기도 포천시,경기도,포천시
3330000,부산광역시 해운대구,부산광역시,해운대구
3210000,서울특별시 서초구,서울특별시,서초구
4701000,전북특별자치도 남원시,전북특별자치도,남원시
4040000,경기도 하남시,경기도,하남시
4170000,경기도 양평군,경기도,양평군
4390000,충청북도 충주시,충청북도,충주시
4420000,충청북도 보은군,충청북도,보은군
3310000,부산광역시 남구,부산광역시,남구
3990000,경기도 남양주시,경기도,남양주시
